"","TL","TGS","prejudice","own","out","step"
"1",0.5,0.2,0,0.499688000051973,0.500285765957053,0
"2",0.5,0.2,0.05,0.550030613942653,0.449884961368936,0
"3",0.5,0.2,0.1,0.600102698560753,0.399831786602442,0
"4",0.5,0.2,0.2,0.700214053156691,0.300523908426701,0
"5",0.5,0.2,0.4,0.891662882396074,0.108310064601711,0
"6",0.5,0.35,0,0.499930456213359,0.500271394307445,0
"7",0.5,0.35,0.05,0.549779503356372,0.450869952935169,0
"8",0.5,0.35,0.1,0.599800835000622,0.400007701060281,0
"9",0.5,0.35,0.2,0.700340621199387,0.29995468392498,0
"10",0.5,0.35,0.4,0.89141175245815,0.108349315728238,0
"11",0.5,0.5,0,0.500271528395672,0.499723247539933,0
"12",0.5,0.5,0.05,0.55004594277833,0.449842225520356,0
"13",0.5,0.5,0.1,0.599208218548422,0.399443452414964,0
"14",0.5,0.5,0.2,0.700059446409962,0.300011160645005,0
"15",0.5,0.5,0.4,0.891423914877548,0.108777856862434,0
"16",0.5,0.65,0,0.500496080532651,0.499743261223442,0
"17",0.5,0.65,0.05,0.550054355942329,0.4504180182214,0
"18",0.5,0.65,0.1,0.600076823164975,0.400178342661029,0
"19",0.5,0.65,0.2,0.700222481328822,0.299929258349926,0
"20",0.5,0.65,0.4,0.89133936368042,0.109107425869649,0
"21",0.5,0.8,0,0.500017693323609,0.50036454455258,0
"22",0.5,0.8,0.05,0.55075169368893,0.449925112926511,0
"23",0.5,0.8,0.1,0.599969696643601,0.400023045244541,0
"24",0.5,0.8,0.2,0.699986806232166,0.300149742853033,0
"25",0.5,0.8,0.4,0.891115873688687,0.108635528139093,0
"26",0.6,0.2,0,0.499550845476079,0.499838121706774,0
"27",0.6,0.2,0.05,0.55020828977319,0.449913671405641,0
"28",0.6,0.2,0.1,0.600218664741229,0.400148195701502,0
"29",0.6,0.2,0.2,0.700243812385685,0.300521569494517,0
"30",0.6,0.2,0.4,0.891279829515898,0.108481720637121,0
"31",0.6,0.35,0,0.499705799539119,0.499910096236076,0
"32",0.6,0.35,0.05,0.55025864804196,0.450033874662936,0
"33",0.6,0.35,0.1,0.600230893276746,0.399482906055377,0
"34",0.6,0.35,0.2,0.7002812765851,0.300090009675272,0
"35",0.6,0.35,0.4,0.89139805795666,0.108681309401011,0
"36",0.6,0.5,0,0.500018845382696,0.500594219403051,0
"37",0.6,0.5,0.05,0.55000259940494,0.450008814007895,0
"38",0.6,0.5,0.1,0.600149144089776,0.399732504853419,0
"39",0.6,0.5,0.2,0.700014183711114,0.299868026609986,0
"40",0.6,0.5,0.4,0.891741823559323,0.108265028030521,0
